palabra,conteo_df
15,4
16,4
1hugozarate,3
2019,8
21f,6
4cqizl7c2j,3
65,3
abadoblitas,11
acabado,5
acepta,4
actos,5
afi,5
alguien,3
alianza,3
alto,3
amilcarbarral,6
anf,17
anunciando,5
anuncio,4
areglan,3
atbdigital,6
atbrednacional,3
avsix,4
años,16
bi0mekiygu,3
bitduarte,5
blwhght,3
bolivia,34
boliviana,3
ca,8
caballo,3
cabeza,3
calcados,4
callejaselmar,3
candidato,42
candidatura,19
candidaturas,3
canela_cs,4
carlo,5
carlos,25
carlosd,4
carlosdmesag,266
choqueyapu,8
ciudadanos,21
co,126
competirá,5
confirma,9
cotizados,3
cree,6
creen,4
cuadernosge,3
decisión,8
defender,3
demanda,5
democracia,9
democratasbo,14
derecho,3
deseo,5
dexanfetamina,3
diarioeldeber,3
diputados_bol,4
discurso,6
don,5
déjà,5
eduardoerocad,5
elecciones,7
es_kahlo,4
escuchamos,5
esperanza,4
evo,15
evoespueblo,17
fallo,6
falta,3
felicidades,5
finalmente,5
forma,5
foto,4
franzrbarriosg,3
fri,18
fu,3
fulnnsskp5,21
futuro,7
ganar,3
generacion_evo_,4
generacional,6
gobierno,32
goni,3
gracias,3
historia,14
hombre__libre,3
https,129
importante,4
invitación,6
invitado,3
ivanariasduran,5
jaimepazzamora,18
jp_rivero,3
kariduenalfaro,5
katuarkonada,12
lanzar,3
libertad,3
limosna,3
llama,3
luisrevillah,3
magia,5
mar,5
mesa,42
mfuenteselalto,3
ministro,5
monolargavista,9
morales,10
movimiento,3
mundo,5
necesita,8
nlagunaq,11
normapierola,7
notibolgroup,17
noticiasfides,28
octubre,3
oruro,3
pajpaku,4
participación,4
participar,3
partido,5
pasados,5
paulinochura,3
paz,3
país,9
pensardiferente,7
peoresnada,3
pepepomacusi,8
per,4
plataformas,3
política,6
político,5
políticos,8
pomada,4
prefiero,8
pregunta,5
presidencia,15
presidencial,6
presidenciales,3
presidente,22
primarias,4
pueblo,4
pueblos,4
querido,6
razón,3
realmente,4
recuerdo,3
redes,4
renovación,7
repercusiones,4
repite,3
respuesta,24
rmwr9svnym,4
romero,5
rt,149
rubencostasa,5
río,8
saludamos,5
sdoriamedina,11
semana,5
sentimientos,4
señor,6
sociales,4
solparabolivia,11
solteros,3
srjudaz,4
sumaj_warmi,10
tipo,6
tirarme,8
tomar,5
troya,3
tutoquiroga,4
ud,8
unidadnacional1,3
urgentemente,4
valeqinaya,9
venden,4
vender,5
vhcardenasc,4
video,5
vota,5
vu,5
vía,21
vídeos,4
youtube,60
único,5
